Hamlet,State,District,Block,Panchayat,Revenue Village,VEC Name,Micro Grid ID
Amkani,Jharkhand,Simdega,Kersai,West Tainsar,Tainsar,Sitara Saur Oorja Samiti, Amkani,MG-Sitara Saur Oorja Samiti
Baghdega Tangartoli,Jharkhand,Simdega,Kersai,Baghdega,Baghdega,Sant Monika Saur Oorja Samiti, Baghdega Tangartoli,MG-Sant Monika Saur Oorja Samiti
Baki Kona,Jharkhand,Simdega,Kersai,Kinkel,Betma,Prakashit Saur Oorja Samiti, Baki Kona,MG-Prakashit Saur Oorja Samiti
Bala Pani,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Tara Saur Oorja Samiti, Bala Pani,MG-Tara Saur Oorja Samiti
Banda Toli,Jharkhand,Simdega,Bolba,Malsada,Machhkatta,Ishwariya Saur Oorja Samiti, Banda Toli,MG-Ishwariya Saur Oorja Samiti
Bandhna toli,Jharkhand,Simdega,Kersai,Baghdega,Baghdega,Ujwal Sour Oorja Samiti, Bandhna toli,MG-Ujwal Sour Oorja Samiti
Baraik toli,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Roshni Saur Oorja Samiti, Baraik toli,MG-Roshni Saur Oorja Samiti
Bhalmanda Tanagrtoli,Jharkhand,Simdega,Kurdeg,Gariyajor,Gariyajor,Ujala Sour Urja Samiti, Bhalmanda Tanagrtoli,MG-Ujala Sour Urja Samiti
Bhijribadi,Jharkhand,Simdega,Kurdeg,Hethma,Hethma,Surya Sour Oorja Samiti , Bhijribadi,MG-Surya Sour Oorja Samiti
Bijakhamhan,Jharkhand,Simdega,Kurdeg,Khinda,Khinda,Tara Saur Oorja Samiti, Bijakhamhan,MG-Tara Saur Oorja Samiti
Bondabari,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Patar Saur Oorja Samiti, Bondabari,MG-Patar Saur Oorja Samiti
Chadri Toli,Jharkhand,Simdega,Bolba,Pidiya Poch,Talmanga,Injot Saur Oorja Samiti, Chadri Toli,MG-Injot Saur Oorja Samiti
Chamadnd,Jharkhand,Simdega,Bolba,Samsera,Samsera,Chamak Saur Oorja Samiti, Chamadnd,MG-Chamak Saur Oorja Samiti
Cheng Jahriya,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Vishnu Sour Urja Samiti, Cheng Jahriya,MG-Vishnu Sour Urja Samiti
Chernga,Jharkhand,Simdega,Kurdeg,Gariyajor,Dhorhi,Jeevan Saur Oorja Samiti, Chernga,MG-Jeevan Saur Oorja Samiti
Churichokha East,Jharkhand,Simdega,Bolba,Kadopani,Kadopani,Prakash Saur Oorja Samiti, Churichokha East,MG-Prakash Saur Oorja Samiti
Churichokha West,Jharkhand,Simdega,Bolba,Kadopani,Kadopani,Jyoti Saur Oorja Samiti, Churichokha West,MG-Jyoti Saur Oorja Samiti
Dabanipani,Jharkhand,Simdega,Kurdeg,Kutmakachar,Kutumakachar,Saur Oorja Samiti, Dabanipani,MG-Saur Oorja Samiti
Dakuatoli,Jharkhand,Simdega,Kurdeg,Hethma,Hethma,Jugnu Sour Oorja Samiti, Dakuatoli,MG-Jugnu Sour Oorja Samiti
Dhangri Nacha,Jharkhand,Simdega,Kurdeg,Gariyajor,Dhorhi,Suraj Saur Oorja Samiti, Dhangri Nacha,MG-Suraj Saur Oorja Samiti
Dholki Toli,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Asha Saur Oorja Samiti, Dholki Toli,MG-Asha Saur Oorja Samiti
Dhorijor-Tola 1,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Deep Sour Urja Samiti, Dhorijor-Tola 1,MG-Deep Sour Urja Samiti
Dhorijor-Tola 2,Jharkhand,Simdega,Kersai,East Tainsar,Tainsar,Deep Sour Urja Samiti, Dhorijor-Tola 2,MG-Deep Sour Urja Samiti
Dodapani Dipatoli,Jharkhand,Simdega,Kurdeg,Gariyajor,Jhunka Chhapar,Prabhat Saur Oorja Samiti, Dodapani Dipatoli,MG-Prabhat Saur Oorja Samiti
Dodapani Khas,Jharkhand,Simdega,Kurdeg,Gariyajor,Jhunka Chhapar,Shweta Saur Oorja Samiti, Dodapani Khas,MG-Shweta Saur Oorja Samiti
Domrabandh,Jharkhand,Simdega,Kersai,Kinkel,Betma,Roshan Saur Oorja Samiti, Domrabandh,MG-Roshan Saur Oorja Samiti
Dongapani,Jharkhand,Simdega,Kurdeg,Barkibiura,Barkibiura,Hira Sour Oorja Samiti, Dongapani,MG-Hira Sour Oorja Samiti
